Ticker,Month,Mean Return,Std Return,Highest Return Value,Highest Return Year,Lowest Return Value,Lowest Return Year,Mean Volume,Highest Volume Value,Highest Volume Year,Lowest Volume Value,Lowest Volume Year,Mean ATR,Mean RSI,Mean 20 Day MA,Mean Upper Band,Mean Lower Band,Mean Tenkan-sen,Mean Kijun-sen,Mean Senkou Span A,Mean Senkou Span B,Mean Chikou Span,Close > RSI,Close > Upper Band,High > ATR
JEPI,Jan,-1.0931586682402683,2.6757592416803653,1.7984942412354599,2023,-3.4815587847034646,2022,47681600.0,103774000,2023,4195200,2021,0.5438756842362253,46.912205789754005,57.689268808364865,58.73672914890125,56.64180846782849,57.52321262192308,57.5286567788375,57.17513620978908,55.96718205736394,56.46319316730165,2,0,3
JEPI,Feb,-1.5603058580587856,1.6343327796318863,0.20051150041513477,2021,-3.028664626293087,2023,45969866.666666664,98138300,2023,4489600,2021,0.5919276454992461,45.2415835326922,57.134550964623166,58.20198565414236,56.06711627510398,56.857701887164204,57.05734202736303,57.62772340941848,56.69955216792592,57.1007015161347,3,0,3
JEPI,Mar,3.2696389054406083,2.1968188589862354,5.730394108114489,2021,1.5058515426794372,2023,52063666.666666664,108506400,2023,9085000,2021,0.6936487628312831,53.517267942432795,56.46313775104025,57.9021823095732,55.0240931925073,56.28436951015306,56.178145146024406,57.11892752716506,57.385405720144085,57.9224638455156,2,2,3
JEPI,Apr,-0.3829862254881394,3.6548624416529605,1.9786674931406623,2021,-4.5928332650539865,2022,45178166.666666664,79179700,2023,7348100,2021,0.4218263052915215,64.93592443029453,57.65068290528001,58.84764392686903,56.45372188369098,57.97393019635576,57.03286707829513,56.17482453320758,56.721838124274406,57.05658290627208,1,2,3
JEPI,May,-0.7493455355253401,1.8053192592958685,1.1135479033485662,2021,-2.4909765886388935,2023,44030025.0,106573600,2023,482000,2020,0.6504328963044401,47.761326777313535,57.57909455531947,59.02853151526631,56.129657595372635,57.19452070426115,57.600807335538434,57.16066041756502,56.51076976685297,55.23510465332956,2,0,3
JEPI,Jun,-0.38070415899863774,3.0028726225250866,2.425030289133856,2023,-4.51179429249814,2022,37377175.0,96710700,2023,167800,2020,0.5594206109338877,50.206010198822426,55.38966561898181,56.59227976784003,54.18705147012358,55.34166233869858,55.776832492836625,57.569448010746015,56.708930537126115,56.38080960021907,3,2,4
JEPI,Jul,2.73687733384716,1.5798945525359405,4.484059132599749,2020,0.9940343735030499,2023,40331400.0,92091900,2023,1119200,2020,0.4702438865094253,66.03783822631964,55.51493008426773,56.591706713365504,54.43815345516997,55.846578480877405,55.54396883914997,56.897004733766835,57.1080916268485,56.98019151522483,0,4,4
JEPI,Aug,-0.29062364860986956,2.533306951837913,1.8226181581305845,2020,-3.778516406253629,2022,46036800.0,89482400,2023,623800,2020,0.349464535793329,60.857646254213996,56.74661483470271,57.632176386652915,55.861053282752515,56.92440128770674,56.54681437181121,55.46132692668749,57.019216238431476,55.36331301446287,1,2,4
JEPI,Sep,-4.300321973250084,2.3716483652311653,-1.5870028002370584,2020,-7.292795696170884,2022,41444325.0,74666100,2023,743200,2020,0.5275018422782015,38.41270364911741,56.566191942124135,57.85289179865606,55.279492085592224,56.14664763609568,56.36471458503178,56.63254462821143,55.89831020377932,55.205434465408324,4,0,4
JEPI,Oct,1.62678631891327,4.312565553344804,6.5196177677773415,2022,-2.233268050248427,2020,43654375.0,86133300,2023,674700,2020,0.6567873081898498,49.4268769956654,55.03382304024386,56.58744085349491,53.48020522699284,54.76595721822797,55.09018569694453,56.57825789203891,56.23117243675958,56.61135151479151,3,0,4
JEPI,Nov,2.985921107615974,3.655630779816973,6.1968948324713,2020,-2.274927166547114,2021,40334225.0,71487700,2023,1009800,2020,0.4885004178196395,63.414140935646685,55.668463622842516,57.19964263433619,54.137284611348846,56.00444956507002,55.165478024028594,55.05744179089864,55.63492433230082,57.041115431558524,1,1,4
JEPI,Dec,0.3680682470597745,3.422921151305674,4.325571974715814,2021,-4.0331052308247965,2022,46069775.0,79923600,2022,956100,2020,0.43933989860131256,54.4719272452408,56.77711934381749,57.76942773400337,55.78481095363162,56.83250006349572,56.372018300093615,55.27514875347996,55.334584797718826,57.32308952529709,3,1,4
